user_id,contact,incoming_message,reply_message,timestamp
1,Mom,"Did you eat lunch?","Yes, I just finished eating!",2025-09-09 15:00:00
1,Friend,"You are so annoying!","Sorry, didn’t mean to bother you.",2025-09-09 15:05:00
1,Boss,"Please submit the report by EOD.","Sure, I’ll send it before 5 PM.",2025-09-09 15:10:00
1,Friend,"Check out this TikTok 😂","LOL that’s hilarious!",2025-09-09 15:15:00
1,Stranger,"You are ugly and stupid.","Please don’t send me such messages.",2025-09-09 15:20:00
1,Friend,"Let’s play later!","Sounds good, text me when you’re free.",2025-09-09 15:25:00
1,Boss,"Your work is not up to the mark.","Thanks for the feedback, I’ll improve.",2025-09-09 15:30:00
1,Friend,"Hey, are you coming to the party?","Yes! I’ll be there at 8.",2025-09-09 15:35:00
1,Friend,"You did a great job!","Thank you so much!",2025-09-09 15:40:00
1,Friend,"Send me the notes plz.","Sure, sending them now.",2025-09-09 15:45:00
